iter	Passed	Remaining
0	8	8897
1	18	9099
2	26	8865
3	35	8931
4	44	8844
5	53	8829
6	61	8674
7	69	8624
8	77	8546
9	85	8509
10	93	8444
11	103	8480
12	110	8423
13	119	8406
14	127	8364
15	136	8400
16	144	8355
17	153	8382
18	161	8337
19	169	8327
20	177	8285
21	185	8257
22	193	8225
23	201	8213
24	210	8196
25	218	8192
26	226	8156
27	234	8143
28	242	8125
29	251	8132
30	259	8116
31	268	8118
32	276	8094
33	284	8082
34	292	8060
35	300	8049
36	308	8021
37	316	8016
38	324	7995
39	332	7982
40	340	7959
41	348	7943
42	355	7921
43	364	7915
44	372	7899
45	381	7902
46	389	7892
47	397	7881
48	405	7868
49	413	7861
50	421	7845
51	429	7836
52	437	7820
53	445	7803
54	453	7786
55	461	7773
56	469	7759
57	476	7744
58	484	7734
59	492	7716
60	500	7707
61	508	7693
62	516	7683
63	524	7665
64	532	7655
65	539	7639
66	548	7633
67	555	7615
68	563	7606
69	571	7592
70	580	7590
71	588	7578
72	596	7568
73	604	7558
74	611	7544
75	619	7531
76	627	7522
77	635	7507
78	643	7496
79	650	7484
80	658	7473
81	666	7464
82	674	7454
83	682	7444
84	690	7434
85	698	7426
86	706	7413
87	714	7404
88	722	7393
89	730	7385
90	738	7374
91	746	7364
92	753	7350
93	761	7344
94	769	7333
95	778	7329
96	786	7320
97	794	7314
98	802	7304
99	811	7306
100	821	7311
101	831	7320
102	840	7321
103	849	7315
104	857	7310
105	865	7300
106	873	7290
107	881	7279
108	889	7268
109	897	7258
110	905	7249
111	913	7240
112	921	7229
113	928	7219
114	936	7209
115	944	7200
116	952	7188
117	960	7182
118	969	7174
119	977	7166
120	985	7155
121	993	7146
122	1000	7135
123	1008	7127
124	1016	7117
125	1024	7109
126	1032	7099
127	1040	7091
128	1048	7081
129	1056	7071
130	1064	7061
131	1072	7055
132	1080	7046
133	1089	7040
134	1097	7033
135	1106	7028
136	1115	7023
137	1123	7020
138	1132	7013
139	1141	7011
140	1150	7006
141	1159	7003
142	1167	6995
143	1175	6988
144	1183	6981
145	1192	6976
146	1200	6967
147	1208	6959
148	1217	6951
149	1229	6968
